FECHAHORA,DEM
2007-01-01T00UTC+01:00,25334.2
2007-01-01T01UTC+01:00,24001.6
2007-01-01T02UTC+01:00,22425.6
2007-01-01T03UTC+01:00,20775.9
2007-01-01T04UTC+01:00,19212.6
2007-01-01T05UTC+01:00,18050.5
2007-01-01T06UTC+01:00,17121.6
2007-01-01T07UTC+01:00,16474.9
2007-01-01T08UTC+01:00,15566
2007-01-01T09UTC+01:00,15089.5
2007-01-01T10UTC+01:00,16821.7
2007-01-01T11UTC+01:00,18588.2
2007-01-01T12UTC+01:00,19878.2
2007-01-01T13UTC+01:00,21167.3
2007-01-01T14UTC+01:00,21033.6
2007-01-01T15UTC+01:00,20086.1
2007-01-01T16UTC+01:00,20458.2
2007-01-01T17UTC+01:00,20816.5
2007-01-01T18UTC+01:00,23709.7
2007-01-01T19UTC+01:00,25290.5
2007-01-01T20UTC+01:00,26401.4
2007-01-01T21UTC+01:00,27444.5
2007-01-01T22UTC+01:00,26256.4
2007-01-01T23UTC+01:00,26317.7
2007-01-02T00UTC+01:00,24898.6
2007-01-02T01UTC+01:00,21549.1
2007-01-02T02UTC+01:00,20077.7
2007-01-02T03UTC+01:00,19000.1
2007-01-02T04UTC+01:00,17979.4
2007-01-02T05UTC+01:00,18696.5
2007-01-02T06UTC+01:00,21387.3
2007-01-02T07UTC+01:00,24943.2
2007-01-02T08UTC+01:00,27553.5
2007-01-02T09UTC+01:00,29652.4
2007-01-02T10UTC+01:00,31687.9
2007-01-02T11UTC+01:00,31794.4
2007-01-02T12UTC+01:00,31631.1
2007-01-02T13UTC+01:00,30856.5
2007-01-02T14UTC+01:00,29631.7
2007-01-02T15UTC+01:00,29554
2007-01-02T16UTC+01:00,29586.9
2007-01-02T17UTC+01:00,29953
2007-01-02T18UTC+01:00,33069.6
2007-01-02T19UTC+01:00,33616
2007-01-02T20UTC+01:00,32877.2
2007-01-02T21UTC+01:00,32169.4
2007-01-02T22UTC+01:00,30536.6
2007-01-02T23UTC+01:00,30765.2
2007-01-03T00UTC+01:00,28315.5
2007-01-03T01UTC+01:00,25278.1
2007-01-03T02UTC+01:00,23577.3
2007-01-03T03UTC+01:00,22492.6
2007-01-03T04UTC+01:00,21921.9
2007-01-03T05UTC+01:00,21515.8
2007-01-03T06UTC+01:00,23600
2007-01-03T07UTC+01:00,26410.2
2007-01-03T08UTC+01:00,29836
2007-01-03T09UTC+01:00,31210.5
