FECHAHORA,DEM
2015-01-01T00UTC+01:00,1084.007
2015-01-01T01UTC+01:00,956.003
2015-01-01T02UTC+01:00,855.191
2015-01-01T03UTC+01:00,791.059
2015-01-01T04UTC+01:00,763.415
2015-01-01T05UTC+01:00,780.143
2015-01-01T06UTC+01:00,801.926
2015-01-01T07UTC+01:00,821.821
2015-01-01T08UTC+01:00,759.612
2015-01-01T09UTC+01:00,823.94
2015-01-01T10UTC+01:00,953.861
2015-01-01T11UTC+01:00,993.727
2015-01-01T12UTC+01:00,1026.284
2015-01-01T13UTC+01:00,1041.564
2015-01-01T14UTC+01:00,1041.877
2015-01-01T15UTC+01:00,941.461
2015-01-01T16UTC+01:00,894.224
2015-01-01T17UTC+01:00,917.446
2015-01-01T18UTC+01:00,1194.287
2015-01-01T19UTC+01:00,1379.642
2015-01-01T20UTC+01:00,1443.888
2015-01-01T21UTC+01:00,1466.84
2015-01-01T22UTC+01:00,1295.521
2015-01-01T23UTC+01:00,1177.65
2015-01-02T00UTC+01:00,1011.885
2015-01-02T01UTC+01:00,868.198
2015-01-02T02UTC+01:00,785.377
2015-01-02T03UTC+01:00,740.804
2015-01-02T04UTC+01:00,729.865
2015-01-02T05UTC+01:00,758.055
2015-01-02T06UTC+01:00,833.539
2015-01-02T07UTC+01:00,987.313
2015-01-02T08UTC+01:00,1011.084
2015-01-02T09UTC+01:00,1043.511
2015-01-02T10UTC+01:00,1106.115
2015-01-02T11UTC+01:00,1074.138
2015-01-02T12UTC+01:00,1078.361
2015-01-02T13UTC+01:00,1089.093
2015-01-02T14UTC+01:00,1036.596
2015-01-02T15UTC+01:00,982.283
2015-01-02T16UTC+01:00,973.831
2015-01-02T17UTC+01:00,1031.729
2015-01-02T18UTC+01:00,1292.558
2015-01-02T19UTC+01:00,1461.797
2015-01-02T20UTC+01:00,1477.035
2015-01-02T21UTC+01:00,1465.171
2015-01-02T22UTC+01:00,1321.343
2015-01-02T23UTC+01:00,1214.851
2015-01-03T00UTC+01:00,1093.9
2015-01-03T01UTC+01:00,949.284
2015-01-03T02UTC+01:00,845.587
2015-01-03T03UTC+01:00,788.159
2015-01-03T04UTC+01:00,770.049
2015-01-03T05UTC+01:00,794.084
2015-01-03T06UTC+01:00,825.336
2015-01-03T07UTC+01:00,869.549
2015-01-03T08UTC+01:00,853.493
2015-01-03T09UTC+01:00,953.439
2015-01-03T10UTC+01:00,1080.787
2015-01-03T11UTC+01:00,1087.913
2015-01-03T12UTC+01:00,1109.585
2015-01-03T13UTC+01:00,1132.052
2015-01-03T14UTC+01:00,1101.665
2015-01-03T15UTC+01:00,1004.066
2015-01-03T16UTC+01:00,951.367
2015-01-03T17UTC+01:00,972.636
2015-01-03T18UTC+01:00,1242.802
2015-01-03T19UTC+01:00,1408.315
2015-01-03T20UTC+01:00,1442.461
2015-01-03T21UTC+01:00,1456.429
2015-01-03T22UTC+01:00,1330.484
2015-01-03T23UTC+01:00,1237.027
2015-01-04T00UTC+01:00,1137.254
2015-01-04T01UTC+01:00,991.564
2015-01-04T02UTC+01:00,886.476
2015-01-04T03UTC+01:00,822.652
2015-01-04T04UTC+01:00,797.662
2015-01-04T05UTC+01:00,818.495
2015-01-04T06UTC+01:00,843.544
2015-01-04T07UTC+01:00,867.548
2015-01-04T08UTC+01:00,808.701
2015-01-04T09UTC+01:00,887.877
2015-01-04T10UTC+01:00,1031.291
2015-01-04T11UTC+01:00,1068.676
2015-01-04T12UTC+01:00,1084.26
2015-01-04T13UTC+01:00,1096.425
2015-01-04T14UTC+01:00,1096.211
2015-01-04T15UTC+01:00,993.467
2015-01-04T16UTC+01:00,942.952
2015-01-04T17UTC+01:00,964.556
2015-01-04T18UTC+01:00,1246.598
2015-01-04T19UTC+01:00,1434.531
2015-01-04T20UTC+01:00,1500.824
2015-01-04T21UTC+01:00,1522.757
2015-01-04T22UTC+01:00,1360.71
2015-01-04T23UTC+01:00,1239.533
2015-01-05T00UTC+01:00,1015.133
2015-01-05T01UTC+01:00,887.848
2015-01-05T02UTC+01:00,801.929
2015-01-05T03UTC+01:00,758.173
2015-01-05T04UTC+01:00,742.394
2015-01-05T05UTC+01:00,767.271
2015-01-05T06UTC+01:00,828.63
2015-01-05T07UTC+01:00,966.905
2015-01-05T08UTC+01:00,960.558
2015-01-05T09UTC+01:00,984.068
2015-01-05T10UTC+01:00,1052.727
2015-01-05T11UTC+01:00,1040.566
2015-01-05T12UTC+01:00,1047.622
2015-01-05T13UTC+01:00,1056.408
2015-01-05T14UTC+01:00,1002.524
2015-01-05T15UTC+01:00,936.671
2015-01-05T16UTC+01:00,931.715
2015-01-05T17UTC+01:00,990.245
2015-01-05T18UTC+01:00,1258.366
2015-01-05T19UTC+01:00,1451.409
2015-01-05T20UTC+01:00,1484.628
2015-01-05T21UTC+01:00,1475.541
2015-01-05T22UTC+01:00,1309.474
2015-01-05T23UTC+01:00,1179.06
2015-01-06T00UTC+01:00,1117.338
2015-01-06T01UTC+01:00,975.245
2015-01-06T02UTC+01:00,871.369
2015-01-06T03UTC+01:00,808.042
2015-01-06T04UTC+01:00,783.915
2015-01-06T05UTC+01:00,803.541
2015-01-06T06UTC+01:00,828.304
2015-01-06T07UTC+01:00,851.445
2015-01-06T08UTC+01:00,792.587
2015-01-06T09UTC+01:00,868.161
2015-01-06T10UTC+01:00,1006.759
2015-01-06T11UTC+01:00,1043.413
2015-01-06T12UTC+01:00,1056.981
2015-01-06T13UTC+01:00,1067.126
2015-01-06T14UTC+01:00,1062.572
2015-01-06T15UTC+01:00,959.69
2015-01-06T16UTC+01:00,910.649
2015-01-06T17UTC+01:00,933.838
2015-01-06T18UTC+01:00,1209.14
2015-01-06T19UTC+01:00,1393.849
2015-01-06T20UTC+01:00,1458.728
2015-01-06T21UTC+01:00,1485.4
2015-01-06T22UTC+01:00,1336.24
2015-01-06T23UTC+01:00,1216.899
2015-01-07T00UTC+01:00,1039.391
2015-01-07T01UTC+01:00,901.323
2015-01-07T02UTC+01:00,818.968
2015-01-07T03UTC+01:00,773.841
2015-01-07T04UTC+01:00,763.242
2015-01-07T05UTC+01:00,793.022
2015-01-07T06UTC+01:00,871.538
2015-01-07T07UTC+01:00,1038.466
2015-01-07T08UTC+01:00,1052.164
2015-01-07T09UTC+01:00,1072.358
2015-01-07T10UTC+01:00,1132.19
2015-01-07T11UTC+01:00,1107.639
2015-01-07T12UTC+01:00,1118.678
2015-01-07T13UTC+01:00,1130.763
2015-01-07T14UTC+01:00,1071.727
2015-01-07T15UTC+01:00,1008.56
2015-01-07T16UTC+01:00,1012.364
2015-01-07T17UTC+01:00,1089.237
2015-01-07T18UTC+01:00,1373.485
2015-01-07T19UTC+01:00,1561.072
2015-01-07T20UTC+01:00,1590.773
2015-01-07T21UTC+01:00,1561.069
