FECHAHORA,DEM
2015-01-01T00UTC+01:00,2014.453
2015-01-01T01UTC+01:00,2037.043
2015-01-01T02UTC+01:00,2007.368
2015-01-01T03UTC+01:00,1973.608
2015-01-01T04UTC+01:00,1950.183
2015-01-01T05UTC+01:00,2021.597
2015-01-01T06UTC+01:00,2229.407
2015-01-01T07UTC+01:00,2639.515
2015-01-01T08UTC+01:00,2481.945
2015-01-01T09UTC+01:00,2862.26
2015-01-01T10UTC+01:00,2908.619
2015-01-01T11UTC+01:00,2884.118
2015-01-01T12UTC+01:00,2839.938
2015-01-01T13UTC+01:00,2344.986
2015-01-01T14UTC+01:00,2112.999
2015-01-01T15UTC+01:00,2065.371
2015-01-01T16UTC+01:00,2118.591
2015-01-01T17UTC+01:00,2223.203
2015-01-01T18UTC+01:00,2738.37
2015-01-01T19UTC+01:00,2777.65
2015-01-01T20UTC+01:00,2706.653
2015-01-01T21UTC+01:00,2581.424
2015-01-01T22UTC+01:00,2090.719
2015-01-01T23UTC+01:00,1876.871
2015-01-02T00UTC+01:00,2306.67
2015-01-02T01UTC+01:00,2205.939
2015-01-02T02UTC+01:00,2136.167
2015-01-02T03UTC+01:00,2081.544
2015-01-02T04UTC+01:00,2082.348
2015-01-02T05UTC+01:00,2260.903
2015-01-02T06UTC+01:00,2756.633
2015-01-02T07UTC+01:00,3361.932
2015-01-02T08UTC+01:00,3815.442
2015-01-02T09UTC+01:00,5457.414
2015-01-02T10UTC+01:00,5856.891
2015-01-02T11UTC+01:00,5849.788
2015-01-02T12UTC+01:00,5625.071
2015-01-02T13UTC+01:00,4560.551
2015-01-02T14UTC+01:00,4167.959
2015-01-02T15UTC+01:00,3930.867
2015-01-02T16UTC+01:00,3984.192
2015-01-02T17UTC+01:00,4235.262
2015-01-02T18UTC+01:00,4786.281
2015-01-02T19UTC+01:00,4750.373
2015-01-02T20UTC+01:00,4433.941
2015-01-02T21UTC+01:00,3683.553
2015-01-02T22UTC+01:00,2900.292
2015-01-02T23UTC+01:00,2494.885
2015-01-03T00UTC+01:00,2384.984
2015-01-03T01UTC+01:00,2263.159
2015-01-03T02UTC+01:00,2175.73
2015-01-03T03UTC+01:00,2154.467
2015-01-03T04UTC+01:00,2275.715
2015-01-03T05UTC+01:00,2442.778
2015-01-03T06UTC+01:00,2858.189
2015-01-03T07UTC+01:00,3481.531
2015-01-03T08UTC+01:00,3211.93
2015-01-03T09UTC+01:00,3951.118
2015-01-03T10UTC+01:00,4235.268
2015-01-03T11UTC+01:00,4247.581
2015-01-03T12UTC+01:00,4089.493
2015-01-03T13UTC+01:00,3376.636
2015-01-03T14UTC+01:00,2918.095
2015-01-03T15UTC+01:00,2737.538
2015-01-03T16UTC+01:00,2732.042
2015-01-03T17UTC+01:00,2840.202
2015-01-03T18UTC+01:00,3862.146
2015-01-03T19UTC+01:00,3903.281
2015-01-03T20UTC+01:00,3808.647
2015-01-03T21UTC+01:00,3540.611
2015-01-03T22UTC+01:00,2447.255
2015-01-03T23UTC+01:00,2196.677
2015-01-04T00UTC+01:00,2314.62
2015-01-04T01UTC+01:00,2198.521
2015-01-04T02UTC+01:00,2139.371
2015-01-04T03UTC+01:00,2124.629
2015-01-04T04UTC+01:00,2133.936
2015-01-04T05UTC+01:00,2253.192
2015-01-04T06UTC+01:00,2525.479
